account_id,customer_name,national_id,phone_number,origination_date,months_on_book,age,gender,nationality,region,employer_sector,product_type,loan_amount_sar,outstanding_balance_sar,monthly_installment_sar,interest_rate_pct,loan_tenure_months,remaining_tenure_months,collateral_flag,current_dpd,delinquency_bucket,max_dpd_ever,dpd_trend,times_entered_30dpd,ontime_payment_ratio,partial_payment_frequency,avg_payment_ratio,total_payments_made,total_amount_paid_sar,months_since_last_payment,last_payment_amount_sar,total_ptps_made,ptps_kept,ptps_broken,consecutive_broken_ptps,ptp_reliability_rate,avg_days_late_broken_ptp,has_active_ptp,ptp_due_date,ptp_amount_sar,ptp_captured_by,call_pickup_rate,sms_response_rate,whatsapp_response_rate,email_response_rate,preferred_contact_window,days_since_last_contact,contact_attempts_30d,right_party_contact_rate,monthly_income_sar,salary_day,days_to_next_salary,dti_ratio,other_active_loans,bureau_score_at_origination,job_loss_flag,medical_hardship_flag,family_status_change,dispute_flag,fraud_suspected_flag,legal_action_flag,handling_type,assigned_agent_name,assigned_agent_id,settlement_eligible,ots_discount_pct,waiver_requested,ptp_score,pay_probability,risk_tier,recommended_channel,outcome_label
WAT-000014,Khalid Al-Anazi,1728969286,0562680939,2022-04-27,46,28,Male,Saudi,Riyadh,Semi-Government,Auto Finance,85000,28000,2660,8.0,36,0,True,5,1-30 DPD,15,Worsening,2,0.71,0.21,0.64,32,54500,0,1000,1,0,1,1,0.0,3,False,,0,,0.73,0.3,0.49,0.1,6pm-9pm,6,3,0.49,16400,1,7,0.162,3,547,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,827,0.959,Low Risk,SMS,Paid
WAT-000015,Tariq Al-Shahrani,2156358209,0577030755,2021-02-05,61,35,Male,Expat-Arab,Makkah,Government,Personal Finance,47500,7000,1140,6.99,48,0,False,63,61-90 DPD,99,Worsening,4,0.19,0.3,0.17,11,2000,4,0,4,2,2,2,0.5,24,True,2026-04-06,700,Human Agent,0.35,0.27,0.3,0.05,After 9pm,5,8,0.22,13600,29,5,0.084,1,569,False,False,False,False,False,False,Human Led,Fatima Al-Khaldi,AGT-020,False,0,False,543,0.441,High Risk,AI Voice,Not Paid
WAT-000016,Ibrahim Al-Bishi,1694580160,0522663716,2020-08-04,67,53,Male,Saudi,Riyadh,Self-Employed,Personal Finance,70500,31000,2180,7.12,36,0,True,28,1-30 DPD,43,Stable,1,0.67,0.33,0.67,44,64500,0,2400,1,0,1,1,0.0,21,False,,0,,0.22,0.43,0.53,0.18,12pm-3pm,1,3,0.17,15900,1,7,0.137,2,731,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,823,0.951,Low Risk,SMS,Paid
WAT-000017,Nasser Al-Dosari,2242924051,0554607926,2022-12-21,39,26,Male,Expat-Arab,Riyadh,Private - Large,Gold Finance,23500,5500,1400,8.75,18,0,False,64,61-90 DPD,122,Worsening,5,0.56,0.2,0.48,21,14000,2,0,2,1,1,1,0.5,15,True,2026-04-07,2500,AI,0.28,0.29,0.52,0.35,6pm-9pm,5,6,0.24,13300,27,3,0.105,1,639,False,False,False,False,False,False,Human Led,Ziyad Al-Zahrani,AGT-025,False,0,False,836,0.975,Low Risk,SMS,Paid
WAT-000018,Mishal Al-Maliki,1128577377,0590865674,2021-03-21,60,31,Male,Saudi,Jeddah,Private - Large,Home Finance,264500,185000,2290,6.37,180,120,True,58,31-60 DPD,89,Worsening,4,0.6,0.71,0.57,36,47000,1,0,1,0,1,1,0.0,17,True,2026-03-25,4400,AI,0.39,0.18,0.34,0.2,3pm-6pm,1,4,0.37,19200,1,7,0.119,3,593,False,False,False,True,False,False,Human Led,Bader Al-Mutlaq,AGT-029,False,0,False,541,0.438,High Risk,AI Voice,Pending
WAT-000019,Omar Al-Anazi,1486897340,0579255239,2024-10-13,17,27,Male,Saudi,Dammam,Private - SME,Auto Finance,64500,48500,1250,6.19,60,43,True,329,Write-off,377,Worsening,2,0.15,1.0,0.11,2,500,11,0,8,2,6,1,0.25,41,False,,0,,0.56,0.29,0.49,0.19,12pm-3pm,32,20,0.46,14000,29,5,0.089,4,530,False,True,False,False,False,False,Human Led,Bandar Al-Qahtani,AGT-009,False,0,False,311,0.02,Very High Risk,Human Agent,Not Paid
WAT-000020,Majed Al-Asmari,1513893592,0560418684,2021-02-26,60,40,Male,Saudi,Jeddah,Government,Personal Finance,62000,10500,1230,7.0,60,0,True,665,Write-off,666,Worsening,4,0.06,1.0,0.05,3,0,15,0,18,0,18,0,0.0,16,True,2026-04-04,800,AI,0.52,0.24,0.38,0.06,6pm-9pm,41,17,0.38,12800,1,7,0.096,1,713,False,False,False,False,False,False,Human Led,Mohammed Al-Zahrani,AGT-005,False,0,False,311,0.02,Very High Risk,Human Agent,Not Paid
WAT-000021,Ahmed Al-Zahrani,1912351840,0576509043,2021-02-17,61,32,Male,Saudi,Riyadh,Government,Personal Finance,33000,5000,790,6.84,48,0,False,5,1-30 DPD,64,Improving,0,0.92,0.15,0.97,56,43000,0,500,2,1,1,1,0.5,26,False,,0,,0.2,0.78,1.0,0.11,After 9pm,7,2,0.13,10700,27,3,0.074,1,582,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000022,Mishal Al-Mutairi,2440845401,0565841646,2025-08-21,7,46,Male,Expat-GCC,Jeddah,Government,Personal Finance,94000,76000,4270,8.39,24,17,False,35,31-60 DPD,71,Worsening,4,0.57,0.29,0.39,3,5000,2,0,3,1,2,2,0.33,7,False,,0,,0.39,0.49,0.71,0.12,9am-12pm,3,5,0.35,19900,25,1,0.215,1,542,False,False,False,False,False,False,AI + Human,Hessa Al-Ghamdi,AGT-006,False,0,False,839,0.98,Low Risk,SMS,Pending
WAT-000023,Nasser Al-Ghamdi,1202615674,0512904658,2021-02-19,61,43,Male,Saudi,Jeddah,Government,Personal Finance,55000,11000,1130,8.51,60,0,True,25,1-30 DPD,29,Improving,0,0.89,0.33,0.77,54,47000,1,0,2,1,1,1,0.5,4,True,2026-04-02,600,AI,0.48,0.26,0.37,0.06,After 9pm,3,2,0.37,14900,26,2,0.076,5,531,True,False,False,False,False,False,AI Only,N/A,N/A,True,10,False,835,0.973,Low Risk,SMS,Paid
WAT-000024,Omar Al-Zahrani,2269754503,0561351996,2021-07-03,56,34,Male,Expat-GCC,Jeddah,Private - SME,Home Finance,1416000,1107000,10340,6.24,240,184,True,160,NPA,160,Improving,5,0.09,0.5,0.09,5,4500,9,0,8,5,3,2,0.62,11,False,,0,,0.59,0.35,0.42,0.17,12pm-3pm,37,5,0.45,12700,27,3,0.814,2,518,False,False,False,False,False,False,Human Led,Ziyad Al-Zahrani,AGT-025,True,5,False,313,0.024,Very High Risk,Human Agent,Not Paid
WAT-000025,Maha Al-Enazi,2846686578,0599586644,2019-11-21,76,24,Female,Expat-Arab,Jeddah,Government,Personal Finance,54500,12000,1680,7.05,36,0,False,21,1-30 DPD,31,Improving,2,0.46,0.24,0.43,34,24500,0,1800,2,1,1,1,0.5,11,False,,0,,0.64,0.44,0.82,0.16,6pm-9pm,7,3,0.53,18600,30,6,0.09,1,731,False,False,False,False,False,False,AI + Human,Reem Al-Dosari,AGT-010,False,0,True,839,0.98,Low Risk,SMS,Paid
WAT-000026,Najla Al-Ruwaili,2883748728,0544447403,2023-11-17,28,36,Female,Expat-Arab,Riyadh,Private - Large,Personal Finance,39500,21500,920,5.73,48,20,False,13,1-30 DPD,37,Improving,0,0.89,0.23,0.75,24,16500,0,400,0,0,0,0,,0,False,,0,,0.41,0.35,0.47,0.04,3pm-6pm,7,2,0.39,19600,26,2,0.047,1,679,False,False,False,True,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000027,Hessa Al-Rashidi,2564093395,0517337068,2021-08-04,55,30,Female,Expat-Asian,Asir,Private - SME,Home Finance,446000,300000,5110,6.7,120,65,True,1,1-30 DPD,29,Improving,2,0.77,0.1,0.7,42,150000,0,1900,2,1,1,1,0.5,12,False,,0,,0.88,0.19,0.28,0.06,3pm-6pm,2,2,0.66,13000,26,2,0.393,3,680,False,True,False,False,False,False,AI + Human,Abeer Al-Enazi,AGT-026,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000028,Adel Al-Dosari,2304894723,0567179595,2019-08-26,78,34,Male,Expat-Arab,Jeddah,Semi-Government,Personal Finance,25000,6000,480,5.66,60,0,False,1,1-30 DPD,60,Stable,2,0.64,0.23,0.44,49,10500,1,0,2,1,1,1,0.5,19,False,,0,,0.69,0.21,0.26,0.28,6pm-9pm,2,3,0.5,13400,1,7,0.036,0,574,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Pending
WAT-000029,Rana Al-Balawi,1433462592,0513914128,2020-09-22,65,37,Female,Saudi,Jeddah,Government,Personal Finance,72000,16500,1770,8.37,48,0,False,196,Write-off,228,Worsening,2,0.0,0.49,0.0,1,0,10,0,15,7,8,0,0.47,5,False,,0,,0.14,0.41,0.77,0.13,3pm-6pm,7,4,0.1,11100,29,5,0.159,1,352,False,False,False,False,False,False,Human Led,Shahad Al-Maliki,AGT-016,False,0,False,311,0.02,Very High Risk,Human Agent,Not Paid
WAT-000030,Waleed Al-Shahrani,2973992306,0515523672,2025-07-04,8,24,Male,Expat-Arab,Dammam,Semi-Government,Personal Finance,45000,40500,870,5.81,60,52,False,11,1-30 DPD,47,Worsening,2,0.75,0.06,0.74,6,4000,1,0,0,0,0,0,,0,False,,0,,0.77,0.41,0.53,0.0,6pm-9pm,4,4,0.6,13300,25,1,0.065,1,702,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000031,Bader Al-Zahrani,1579559820,0539869083,2020-08-27,66,40,Male,Saudi,Riyadh,Semi-Government,Personal Finance,94000,20500,4300,9.16,24,0,False,34,31-60 DPD,51,Stable,3,0.54,0.19,0.41,35,61500,2,0,3,2,1,1,0.67,6,False,,0,,0.17,0.06,0.09,0.22,9am-12pm,12,8,0.11,7500,29,5,0.573,1,642,False,False,True,False,False,False,AI + Human,Nora Al-Khalid,AGT-002,False,0,False,745,0.809,Low Risk,SMS,Paid
WAT-000032,Turki Al-Harbi,1426876055,0556071662,2023-02-18,37,26,Male,Saudi,Jeddah,Government,Personal Finance,72500,27500,3280,8.01,24,0,False,65,61-90 DPD,82,Worsening,4,0.26,0.35,0.26,9,7500,3,0,4,2,2,1,0.5,35,False,,0,,0.38,0.07,0.11,0.08,3pm-6pm,8,11,0.3,11900,26,2,0.276,3,721,False,False,False,False,False,False,Human Led,Ghada Al-Bogami,AGT-024,False,0,False,771,0.856,Low Risk,SMS,Pending
WAT-000033,Mohammed Al-Mutairi,1818897204,0540088289,2020-04-18,71,51,Male,Saudi,Qassim,Government,Small Business Finance,121500,17000,3790,7.61,36,0,False,94,NPA,123,Worsening,1,0.13,0.3,0.13,9,4500,8,0,11,6,5,1,0.55,35,False,,0,,0.22,0.31,0.45,0.07,12pm-3pm,57,13,0.15,12600,1,7,0.301,0,594,False,False,False,False,False,False,Human Led,Bandar Al-Qahtani,AGT-009,False,0,False,318,0.032,Very High Risk,Human Agent,Pending
WAT-000034,Omar Al-Ghamdi,1797930641,0568211738,2020-12-23,62,22,Male,Saudi,Jeddah,Retired,Personal Finance,73000,8500,1820,9.2,48,0,False,169,NPA,195,Worsening,5,0.31,0.56,0.24,19,8500,8,0,4,2,2,0,0.5,37,False,,0,,0.47,0.3,0.5,0.06,12pm-3pm,14,11,0.44,15700,1,7,0.116,3,473,False,False,False,False,False,True,Human Led,Lama Al-Ahmadi,AGT-012,True,15,False,331,0.056,Very High Risk,Human Agent,Pending
WAT-000035,Sultan Al-Omari,1717858477,0585088265,2021-01-26,61,25,Male,Saudi,Dammam,Military/Security,Home Finance,431500,350500,3830,8.82,240,179,True,22,1-30 DPD,68,Improving,0,0.55,0.05,0.51,33,64500,1,0,0,0,0,0,,0,False,,0,,0.74,0.64,1.0,0.02,After 9pm,7,3,0.5,15300,26,2,0.25,3,609,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Pending
WAT-000036,Abdullah Al-Dosari,1607448173,0547759813,2024-06-28,20,41,Male,Saudi,Riyadh,Semi-Government,Personal Finance,134000,90000,4300,9.63,36,16,False,173,NPA,190,Worsening,2,0.09,0.6,0.07,1,500,3,0,4,1,3,3,0.25,7,False,,0,,0.24,0.15,0.18,0.01,12pm-3pm,59,15,0.23,11700,1,7,0.368,0,471,False,False,False,False,False,False,Human Led,Reem Al-Dosari,AGT-010,True,20,False,311,0.02,Very High Risk,Human Agent,Not Paid
WAT-000037,Turki Al-Bogami,1396310819,0510643589,2023-08-22,31,40,Male,Saudi,Jeddah,Semi-Government,Personal Finance,19500,10500,410,9.27,60,29,False,237,Write-off,288,Worsening,1,0.0,0.77,0.0,1,0,18,0,19,7,12,1,0.37,36,True,2026-03-25,600,Human Agent,0.18,0.4,0.65,0.04,12pm-3pm,22,18,0.13,19400,27,3,0.021,2,758,False,False,False,False,False,False,Human Led,Dana Al-Subaie,AGT-014,False,0,False,311,0.02,Very High Risk,Human Agent,Not Paid
WAT-000038,Shahad Al-Mutairi,1328051367,0515415580,2024-11-23,15,51,Female,Saudi,Makkah,Private - SME,Gold Finance,48000,10500,4140,6.35,12,0,False,14,1-30 DPD,54,Worsening,1,0.79,0.28,0.74,11,33500,0,3900,1,0,1,0,0.0,17,False,,0,,0.4,0.6,0.91,0.1,After 9pm,7,3,0.29,5400,26,2,0.767,1,694,True,True,False,False,False,False,AI Only,N/A,N/A,False,0,False,822,0.949,Low Risk,SMS,Pending
WAT-000039,Ahmed Al-Zahrani,2566888182,0515511567,2021-09-30,53,50,Male,Expat-Arab,Dammam,Semi-Government,Small Business Finance,191500,58000,4540,6.48,48,0,False,13,1-30 DPD,25,Improving,2,0.9,0.12,0.66,47,141000,1,0,0,0,0,0,,0,True,2026-04-11,3500,AI,0.81,0.21,0.3,0.0,12pm-3pm,2,1,0.59,10300,1,7,0.441,2,375,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000040,Khalid Al-Omari,2840969696,0597237529,2019-07-10,80,42,Male,Expat-Asian,Riyadh,Government,Personal Finance,55500,13000,1690,5.98,36,0,False,18,1-30 DPD,62,Stable,0,0.54,0.24,0.43,43,31000,1,0,2,1,1,1,0.5,24,False,,0,,0.39,0.02,0.03,0.06,12pm-3pm,2,4,0.29,15100,27,3,0.112,1,453,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000041,Lama Al-Khaldi,1924495305,0518177261,2025-09-11,6,48,Female,Saudi,Jeddah,Government,Personal Finance,29000,23500,1300,7.49,24,18,True,13,1-30 DPD,13,Improving,0,0.57,0.56,0.38,3,1500,1,0,2,1,1,1,0.5,26,False,,0,,0.42,0.1,0.18,0.1,After 9pm,4,3,0.36,12400,25,1,0.105,3,672,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,835,0.972,Low Risk,SMS,Paid
WAT-000042,Mona Al-Otaibi,1648430377,0586348939,2024-08-30,18,22,Female,Saudi,Riyadh,Military/Security,Personal Finance,79500,57000,2470,7.38,36,18,False,57,31-60 DPD,76,Stable,2,0.83,0.16,0.77,14,26500,2,0,2,0,2,0,0.0,39,False,,0,,0.56,0.48,0.55,0.04,After 9pm,1,4,0.44,8000,1,7,0.309,2,500,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,816,0.938,Low Risk,SMS,Pending
WAT-000043,Ziyad Al-Omari,1914889421,0541662124,2021-09-03,54,45,Male,Saudi,Dammam,Military/Security,Small Business Finance,47500,11000,2180,9.25,24,0,True,86,61-90 DPD,99,Worsening,2,0.49,0.69,0.46,26,26000,2,0,7,1,6,1,0.14,10,False,,0,,0.63,0.47,0.63,0.02,Before 9am,6,10,0.45,8300,26,2,0.263,1,518,False,False,False,False,False,False,AI + Human,Faisal Al-Rashidi,AGT-001,False,0,False,733,0.788,Low Risk,SMS,Pending
WAT-000044,Khalid Al-Zahrani,1265044087,0594365371,2024-08-15,19,36,Male,Saudi,Dammam,Private - Large,Auto Finance,149500,72500,4580,6.42,36,17,True,51,31-60 DPD,65,Worsening,1,0.39,0.2,0.38,7,12000,1,0,3,0,3,3,0.0,42,False,,0,,0.17,0.18,0.31,0.09,12pm-3pm,7,8,0.14,12500,29,5,0.366,0,831,False,False,False,False,False,False,AI + Human,Fatima Al-Khaldi,AGT-020,False,0,False,441,0.256,High Risk,AI Voice,Not Paid
WAT-000045,Ibrahim Al-Rashidi,1184221623,0564457800,2025-03-02,12,36,Male,Saudi,Jeddah,Government,Personal Finance,32500,28000,770,6.14,48,36,True,38,31-60 DPD,79,Worsening,5,0.35,0.24,0.3,4,1000,1,0,2,0,2,2,0.0,19,False,,0,,0.29,0.42,0.62,0.02,6pm-9pm,3,8,0.23,12300,29,5,0.063,2,724,False,False,False,False,False,False,AI + Human,Omar Al-Omari,AGT-017,False,0,False,592,0.53,Medium Risk,WhatsApp,Paid
WAT-000046,Sultan Al-Maliki,1549635054,0519994963,2019-06-17,81,33,Male,Saudi,Dammam,Private - Large,Home Finance,362500,241500,3080,8.23,240,159,True,69,61-90 DPD,121,Stable,6,0.38,0.44,0.3,30,27500,4,0,7,3,4,4,0.43,10,True,2026-04-03,2300,AI,0.14,0.1,0.12,0.08,6pm-9pm,24,4,0.13,35200,30,6,0.088,1,676,False,False,False,False,False,False,AI + Human,Wafa Al-Shammari,AGT-028,False,0,False,433,0.242,High Risk,AI Voice,Pending
WAT-000047,Ahmed Al-Omari,2449968164,0572372170,2021-10-30,52,55,Male,Expat-Arab,Riyadh,Semi-Government,Personal Finance,18500,6000,570,7.11,36,0,False,43,31-60 DPD,100,Worsening,5,0.89,0.21,0.7,46,18500,1,0,4,2,2,2,0.5,17,True,2026-03-29,800,AI,0.54,0.16,0.22,0.06,12pm-3pm,8,6,0.35,7100,26,2,0.08,4,572,False,False,False,False,False,False,AI + Human,Adel Al-Thubaiti,AGT-021,True,15,True,838,0.978,Low Risk,SMS,Pending
WAT-000048,Abdullah Al-Ruwaili,2377258815,0557450902,2023-08-28,30,40,Male,Expat-Asian,Dammam,Private - Large,Auto Finance,125000,66500,2610,9.21,60,30,True,80,61-90 DPD,124,Worsening,5,0.62,0.54,0.65,18,30500,3,0,5,1,4,4,0.2,37,False,,0,,0.5,0.35,0.62,0.03,12pm-3pm,7,11,0.42,8500,1,7,0.307,2,511,False,False,False,False,True,False,Human Led,Omar Al-Omari,AGT-017,False,0,False,344,0.08,Very High Risk,Human Agent,Not Paid
WAT-000049,Tariq Al-Ahmadi,1968092741,0585429883,2021-12-02,51,55,Male,Saudi,Makkah,Government,Personal Finance,32000,10500,1430,6.6,24,0,False,47,31-60 DPD,74,Stable,2,0.61,0.18,0.66,31,29500,1,0,3,1,2,0,0.33,4,True,2026-03-28,1900,Human Agent,0.13,0.62,0.81,0.08,3pm-6pm,12,5,0.12,13900,1,7,0.103,1,486,False,False,False,False,False,False,AI + Human,Reem Al-Dosari,AGT-010,False,0,False,829,0.962,Low Risk,SMS,Pending
WAT-000050,Saad Al-Anazi,1655698041,0514693216,2023-01-21,38,43,Male,Saudi,Madinah,Semi-Government,Personal Finance,22500,13500,460,8.14,60,22,False,31,31-60 DPD,55,Worsening,1,0.44,0.38,0.43,16,3000,1,0,4,3,1,1,0.75,27,False,,0,,0.49,0.27,0.45,0.03,12pm-3pm,3,7,0.4,19500,26,2,0.024,1,497,False,False,False,False,False,False,AI Only,N/A,N/A,False,0,False,839,0.98,Low Risk,SMS,Paid
WAT-000051,Mishal Al-Asmari,1748359168,0538853078,2022-05-09,46,37,Male,Saudi,Riyadh,Private - Large,Auto Finance,151000,72000,4670,7.09,36,0,True,74,61-90 DPD,95,Worsening,5,0.41,0.48,0.43,18,36000,2,0,3,2,1,0,0.67,35,False,,0,,0.5,0.14,0.2,0.16,6pm-9pm,7,8,0.41,10400,26,2,0.449,3,403,False,False,False,False,False,False,Human Led,Abeer Al-Enazi,AGT-026,False,0,False,627,0.594,Medium Risk,WhatsApp,Pending
